product_id,product_name,product_category,brand,package_quantity,package_unit,price,currency
P001,lapte zuzu,lactate,Zuzu,1,l,9.7,RON
P003,iaurt grecesc,lactate,Olympus,0.4,kg,11.6,RON
P006,ouă mărimea M,ouă,Ferma Veche,10,buc,13.4,RON
P009,brânză telemea,lactate,Hochland,0.3,kg,12.8,RON
P012,pâine albă,panificație,K-Classic,500,g,3.4,RON
P015,roșii cherry,legume și fructe,K-Bio,250,g,7.2,RON
P018,piept pui,carne,Agricola,1,kg,27.5,RON
P020,spaghetti nr.5,paste făinoase,Barilla,500,g,5.7,RON
P022,zahăr tos,alimente de bază,Mărgăritar,1,kg,4.4,RON
P025,apă plată,băuturi,Dorna,2,l,5.2,RON
P027,banane,legume și fructe,Generic,1,kg,6.1,RON
P029,ulei floarea-soarelui,alimente de bază,Floriol,1,l,9.4,RON
P032,biscuiți cu unt,gustări,Milka,0.2,kg,7.3,RON
P035,cafea măcinată,cafea,Jacobs,0.25,kg,23.2,RON
P038,detergent lichid,produse de menaj,Ariel,2.5,l,50.9,RON
P041,șampon păr gras,îngrijire personală,Elseve,400,ml,17.9,RON
P050,vin alb demisec,băuturi,Recas,0.75,l,24.0,RON
P053,ciocolată neagră 70%,gustări,Heidi,100,g,4.0,RON
P056,cartofi albi,legume și fructe,Generic,1,kg,3.0,RON
P058,ceapă galbenă,legume și fructe,Generic,1,kg,2.85,RON
P059,morcovi,legume și fructe,Generic,0.5,kg,2.3,RON
P063,cașcaval,lactate,K-Classic,0.25,kg,14.6,RON
